"","decimalLongitude","decimalLatitude"
"1053",151.221867,-33.693915
"1055",145.966667,-18.016667
"1059",153.059371,-29.61834
"1066",153.154507,-29.412426
"1068",152.837733,-31.583758
"1071",152.841627,-31.643937
"1076",152.285,-32.581
"1089",151.107222,-34.025
"1090",152.890618,-29.686837
"1104",145.133333,-15
"1105",150.860034,-33.931833
"1108",152.171182,-32.668624
"1110",153.057374,-26.591302
"1111",153.426302,-29.045593
"1112",152.941086,-27.016767
"1118",150.4858,-23.3205
"1119",152.719677,-25.271412
"1120",152.966948,-30.857735
"1132",152.905059,-30.657614
"1133",151.866667,-32.8
"1137",152.9434,-26.3009
"1139",153.067394,-26.975397
"1141",152.565701,-32.008743
"1143",152.763062,-25.526991
"1146",151.278433,-33.852353
"1150",153.096858,-28.845433
"1160",152.921203,-30.916791
"1177",150.722786,-35.005172
"1178",151.714688,-32.892704
"1179",153.401561,-27.134023
"1182",153,-27.316667
"1183",152.730693,-31.838595
"1184",151.235997,-33.782603
"1185",152.905596,-31.176003
"1187",150.91541,-33.776257
"1190",152.226381,-32.454078
"1193",153.077862,-29.485786
"1195",145.342773,-16.106804
"1198",150.466317,-35.366325
"1202",151.517652,-32.743247
"1204",152.974131,-30.82998
"1207",153.064391,-26.49124
"1210",152.904599,-26.895648
"1211",152.161,-32.55615
"1212",150.683941,-33.781123
"1213",153.176495,-29.964434
"1215",152.872392,-25.612503
"1217",152.894728,-31.503964
"1219",151.941913,-32.658909
"1220",152.775289,-29.770491
"1225",145.2,-15.066667
"1228",153.395221,-27.901826
"1229",153.077802,-26.567126
"1242",151.300945,-33.761555
"1243",153.279542,-28.798766
"1249",152.7667,-27.6167
"1253",152.370575,-27.469483
"1258",150.907938,-34.335601
"1260",152.833333,-26
"1263",153.2,-29.933333
"1265",153.159534,-30.214018
"1267",152.757728,-25.424876
"1275",150.651089,-33.83625
"1277",152.896059,-31.401732
"1278",152.161494,-32.541283
"1280",145.38,-16.63
"1281",153.385105,-29.158422
"1285",153.153087,-29.006017
"1288",152.518592,-32.306779
"1290",153.029076,-26.845387
"1294",153.237757,-29.683252
"1301",152.888471,-31.346289
"1302",152.510329,-32.08692
"1304",151.234633,-33.900528
"1305",153.33355,-29.567591
"1308",153.050307,-26.891175
"1311",152.905287,-25.705756
"1314",142.759451,-11.156834
"1317",152.228374,-32.488931
"1329",152.997778,-30.442222
"1331",152.956712,-29.15312
"1336",153.073604,-25.943289
"1338",146,-18.25
"1351",153.053808,-27.480155
"1352",152.937469,-29.533817
"1355",152.476348,-32.315876
"1357",152.08975,-32.44216
"1360",153.014953,-27.215489
"1364",150.935987,-33.695442
"1369",147.343377,-35.146045
"1372",144.784444,-14.729167
"1374",152.442902,-32.37529
"1377",153.184268,-27.501422
"1381",151.49503,-24.41454
"1382",150.929175,-33.909807
"1384",149.93716,-36.735274
"1386",150.989959,-33.877268
"1393",151.95036,-32.79272
"1399",146.4358,-19.063
"1403",146.809511,-19.279022
"1405",152.84463,-31.145711
"1406",152.972895,-28.686368
"1417",151.076184,-33.834912
"1419",152.961944,-26.743056
"1420",153.010278,-27.613889
"1421",153.207371,-29.388309
"1423",151.374393,-33.386352
"1425",150.387004,-34.119677
"1426",152.908458,-25.929451
"1433",152.83681,-30.988646
"1439",153.098647,-26.72017
"1441",151.145236,-23.547866
"1442",150.813273,-33.610779
"1448",152.714313,-25.299323
"1450",150.829156,-33.744744
"1451",152.992731,-26.773408
"1452",152.137259,-32.667998
"1455",146.0167,-18.1
"1456",153.340448,-29.48538
"1461",152.717541,-31.732287
"1462",152.903433,-29.564844
"1463",153.093555,-27.375983
"1471",152.999535,-27.380067
"1475",153.064726,-27.213233
"1480",153.016667,-25.9
"1493",151.8167,-25.4833
"1497",152.362495,-32.431191
"1499",151.624892,-33.117731
"1511",152.955361,-31.33257
"1518",153.518637,-27.424215
"1519",150.708849,-22.492032
"1524",151.309633,-33.675666
"1525",151.142792,-33.975772
"1532",153.200322,-29.309085
"1533",153.505796,-28.915193
"1534",153.30712,-29.05852
"1537",153.034674,-27.379963
"1541",151.062008,-33.765779
"1542",152.940897,-29.601517
"1547",151.292734,-23.723421
"1559",150.6324,-35.0968
"1561",152.867313,-30.939946
"1562",151.131568,-34.030482
"1564",152.52498,-32.25149
"1567",152.78304,-31.059521
"1580",151.02777,-33.879142
"1583",153.172372,-27.492517
"1586",151.916667,-32.783333
"1594",152.695273,-25.789615
"1598",152.315994,-27.445744
"1600",152.959251,-30.509013
"1601",153.116667,-26.766667
"1605",152.832487,-26.924256
"1608",153.402669,-28.616549
"1617",150.995452,-33.988897
"1619",153.296449,-29.25263
"1622",153.066399,-25.494479
"1631",152.553663,-25.09853
"1632",151.366885,-23.939213
"1634",152.283827,-32.474068
"1640",153.157803,-29.938106
"1642",151.066623,-33.741381
"1650",153.205367,-27.632513
"1657",153.1404,-29.780124
"1661",153.517667,-28.838477
"1663",152.949108,-26.402054
"1665",153.014177,-27.496222
"1666",153.534389,-28.725257
"1683",145.9833,-17.35
"1686",153.420608,-28.334551
"1692",152.67334,-31.877563
"1699",152.956381,-30.864255
"1714",152.29377,-32.56343
"1732",153.053672,-27.735725
"1735",151.452283,-33.249536
"1744",153.261777,-29.377166
"1750",151.664542,-33.039451
"1751",149.587417,-23.805447
"1754",146.148738,-18.655615
"1762",152.12353,-32.50635
"1770",152.66709,-31.874415
"1781",152.969199,-29.619162
"1787",151.190013,-33.655064
"1794",152.1438,-32.64238
"1796",152.888594,-31.087298
"1797",153.493456,-28.370658
"1799",152.868284,-31.389437
"1804",150.767831,-33.965094
"1808",152.994369,-26.256611
"1809",151.132012,-33.721952
"1827",153.133333,-25.25
"1829",151.411363,-33.310175
"1844",152.186618,-32.633142
"1855",153.149564,-27.433946
"1857",152.151127,-32.715082
"1861",153.03572,-27.644113
"1863",153.176066,-27.740069
"1870",153.138685,-27.006908
"1873",152.768485,-25.724632
"1877",153.054593,-25.443346
"1879",151.694053,-32.969352
"1881",152.916001,-26.926214
"1882",151.501144,-33.29842
"1887",152.781829,-31.599007
"1905",153.052222,-26.4175
"1908",152.976438,-26.247912
"1913",152.979612,-27.031638
"1914",153.264503,-27.648465
"1918",150.589133,-34.879763
"1921",151.05205,-33.950854
"1927",153.227483,-29.288851
"1934",153.117509,-29.463121
"1937",150.692519,-34.038646
"1939",151.689747,-32.843361
"1946",153.476721,-28.262013
"1951",142.233333,-11.6
"1952",152.851055,-27.005083
"1954",153.169072,-29.055153
"1958",153.408157,-28.122253
"1974",153.411536,-29.105267
"1976",146.131402,-18.477916
"1988",152.827485,-31.11369
"1991",145.063064,-37.8256
"1993",152.837089,-31.113535
"1998",153.419226,-29.12905
"2001",152.876297,-31.305558
"2002",153.005497,-30.58324
"2005",152.942722,-25.856743
"2010",153.263002,-29.653422
"2014",153,-30.75
"2023",151.84611,-32.837294
"2041",151.806648,-32.673497
"2046",151.131625,-23.622311
"2061",152.865528,-31.304086
"2078",153.349825,-27.940234
"2082",152.992819,-29.475887
"2088",145.217667,-37.983617
"2089",142.459454,-10.956838
"2100",152.95117,-26.555425
"2103",142.257166,-10.151326
"2114",153.460726,-27.51287
"2122",153.173472,-29.60435
"2127",151.500821,-33.033503
"2132",151.148286,-33.696561
"2134",152.82263,-31.2093
"2139",142.742785,-11.340167
"2142",150.71908,-33.700734
"2149",152.717155,-25.57201
"2151",153.115965,-26.702485
"2153",142.45,-10.966667
"2154",152.417722,-25.081747
"2169",151.88189,-24.178975
