"","NSWID","FID","species","longitude","latitude","sample_lib_NSW","SeedlingNumb","Pop","ID","IID","height","rust_infection","LeavesShootInfect","LeavesShootRustSchore1.5","MinorBranchDB","MajorBranchDB","CrownDensity","Notes"
"131","NSW1079728","NSW_1079728","Melaleuca quinquenervia",152.1225817,-32.75247562,"NSW_1079728_S117",12,"p9c3c9590","NSW_1079728_12",1188,17,"0",NA,NA,"no","no",55,""
"132","NSW1079729","NSW_1079729","Melaleuca quinquenervia",152.281299,-32.58534845,"NSW_1079729_S53",12,"p72bbeb40","NSW_1079729_12",1200,18,"0A","1-5",NA,"no","no",45,""
"133","NSW1079730","NSW_1079730","Melaleuca quinquenervia",152.4501677,-32.40517351,"NSW_1079730_S35",12,"p72bbeb40","NSW_1079730_12",1212,17,"0A","1-5",NA,"no","no",40,""
"134","NSW1079731","NSW_1079731","Melaleuca quinquenervia",152.791639,-31.71631709,"NSW_1079731_S60",12,"pa9710de0","NSW_1079731_12",1236,15,"0A","50-90",NA,"no","no",60,""
"135","NSW1079732","NSW_1079732","Melaleuca quinquenervia",152.4550025,-32.40455719,"NSW_1079732_S58",12,"p72bbeb40","NSW_1079732_12",1248,22,"0A","10-50",NA,"no","no",45,""
"136","NSW1079733","NSW_1079733","Melaleuca quinquenervia",152.2854511,-32.58106381,"NSW_1079733_S106",12,"p72bbeb40","NSW_1079733_12",1260,21,"0A","10-50",NA,"no","no",55,""
"137","NSW1079734","NSW_1079734","Melaleuca quinquenervia",152.272363,-32.59184361,"NSW_1079734_S41",12,"p72bbeb40","NSW_1079734_12",1272,16,"0A","1-5",NA,"no","no",85,""
"138","NSW1079735","NSW_1079735","Melaleuca quinquenervia",152.7916554,-31.71631504,"NSW_1079735_S61",12,"pa9710de0","NSW_1079735_12",1284,8,"infected","10-50",1,"no","no",55,""
"139","NSW1079736","NSW_1079736","Melaleuca quinquenervia",152.7925521,-31.71824925,"NSW_1079736_S147",12,"pa9710de0","NSW_1079736_12",1296,11,"infected","90+",4,"yes","no",50,"appears susceptible"
"140","NSW1079737","NSW_1079737","Melaleuca quinquenervia",152.2724035,-32.59188917,"NSW_1079737_S65",12,"p72bbeb40","NSW_1079737_12",1308,12,"0A","10-50",NA,"no","no",70,""
